#RESOURCE=yCat_17330124
#Name: J/ApJ/733/124
#Title: Cepheids in M101 observed with HST (Shappee+, 2011)
#Table J_ApJ_733_124_cepheids:
#Name: J/ApJ/733/124/cepheids
#Title: Cepheid variables data  }
#---Details of Columns:
    Per (d)      (F10.6) Period [ucd=time.period]
    e_Per (d)    (F9.6)  Uncertainty in Per [ucd=stat.error]
    Vmag (mag)   (F6.3)  Mean HST V band magnitude [ucd=phot.mag;em.opt.V]
    e_Vmag (mag) (F6.3)  Uncertainty in Vmag [ucd=stat.error;phot.mag;em.opt.V]
---------- --------- ------ ------
Per(d)  e_Per(d)  V_mag(mag)  e_Vmag(mag)
 10.905900  0.115900  24.935  0.035
 12.751300  0.206600  25.192  0.031
 10.878100  0.099200  25.212  0.024
 10.386400  0.112800  25.180  0.020
 11.216900  0.153300  25.173  0.021
 14.033100  0.104800  25.130  0.022
 10.179100  0.090400  25.076  0.021
  7.231800  0.060800  25.302  0.022
 12.267300  0.172400  25.007  0.031
  9.043800  0.179800  25.222  0.028
  8.716100  0.110500  25.308  0.023
  9.976800  0.111500  25.187  0.032
 14.676100  0.271800  25.103  0.028
  7.148300  0.066200  25.132  0.021
  8.433900  0.051800  25.162  0.022
 28.131700  0.628000  25.031  0.023
 10.111600  0.120800  25.004  0.028
 10.842300  0.094400  25.106  0.023
  4.182100  0.036900  25.184  0.023
  7.635300  0.032100  25.166  0.019
 11.700000  0.101400  25.180  0.024
 16.594600  0.256200  25.299  0.023
 12.800200  0.189200  25.289  0.030
  7.570200  0.064800  25.260  0.030
 18.515900  0.345200  25.130  0.025
  8.095000  0.111700  25.177  0.025
  9.877500  0.093100  25.357  0.022
  6.801500  0.041700  25.196  0.021
  8.112100  0.066500  25.125  0.022
 11.164500  0.153000  25.164  0.026
  9.235200  0.114500  25.022  0.027
  7.155900  0.059100  25.239  0.021
  7.596500  0.085800  25.147  0.025
 16.425300  0.139900  25.235  0.028
  7.110900  0.036800  25.248  0.020
 10.547300  0.130500  25.258  0.028
 14.522700  0.425000  24.886  0.041
  7.084300  0.098500  25.457  0.026
